n_targets,trial,seed,population_size,n_generations,runtime_s,n_pareto
10,0,10042,25,15,0.017404000042006373,5
10,1,10043,25,15,0.016677249979693443,14
20,0,20042,25,15,0.013957457966171205,4
20,1,20043,25,15,0.014022667019162327,12
30,0,30042,25,15,0.015116624999791384,11
30,1,30043,25,15,0.014735915989149362,7
