population_size,trial,seed,n_targets,n_generations,runtime_s,n_pareto,best_damage,best_travel,best_battery,avg_damage,avg_travel
25,0,467,12,25,0.025778958050068468,8,5.331422929417269,143.4120655922874,143.4120655922874,3.602341668591241,170.3854871383618
25,1,468,12,25,0.024472000019159168,12,5.113182052600099,145.53685395479238,145.53685395479238,3.5106361294306776,176.23247565357622
50,0,892,12,25,0.045267916982993484,9,5.331422929417269,139.48565167766856,139.48565167766856,4.5481834931462295,173.7272635440538
50,1,893,12,25,0.043303541955538094,15,5.532255423916981,144.36755660099462,144.36755660099462,3.8826918094493093,177.9886323682784
100,0,1742,12,25,0.07973412499995902,9,5.546595788031481,139.71982797892673,139.71982797892673,4.643700553287257,188.85743553996372
100,1,1743,12,25,0.0830624169902876,16,5.546595788031481,139.3702316123283,139.3702316123283,4.398141706489893,179.3738586925029
