generation,best_damage,avg_damage,best_travel,avg_travel,best_battery,avg_battery,hypervolume,n_pareto
10,4.912349558100388,3.062411345631583,144.36755660099462,174.6856799816363,144.36755660099462,174.6856799816363,60555.34401035205,30
25,5.546595788031481,3.54672837275893,144.36755660099462,176.18569458297515,144.36755660099462,176.18569458297515,69547.50920818419,30
50,5.546595788031481,4.5021570540269185,140.25653273739766,177.41097699310725,140.25653273739766,177.41097699310725,85148.26534753498,30
