generation,best_damage,avg_damage,best_travel,avg_travel,best_battery,avg_battery,hypervolume,n_pareto
1,4.366939811990803,2.5339431626752487,144.36755660099462,216.9209309760785,144.36755660099462,216.9209309760785,40128.56365863684,7
2,4.603535652575789,2.8035290637994112,144.36755660099462,206.4825241594293,144.36755660099462,206.4825241594293,43662.68037924947,10
3,4.603535652575789,2.885247113516734,144.36755660099462,198.5076781059234,144.36755660099462,198.5076781059234,54154.90552895913,6
4,4.603535652575789,3.0780511169454683,144.36755660099462,196.6324929748625,144.36755660099462,196.6324929748625,56113.99832984234,11
5,4.603535652575789,3.075690138376108,144.36755660099462,186.5336970115707,144.36755660099462,186.5336970115707,58337.43006553738,16
6,4.603535652575789,2.914760460761511,144.36755660099462,179.175737221433,144.36755660099462,179.175737221433,58877.21488133762,21
7,4.603535652575789,2.649573542577618,144.36755660099462,168.00702046898343,144.36755660099462,168.00702046898343,59333.98200474138,30
8,4.912349558100388,2.80701037632568,144.36755660099462,165.41281342551818,144.36755660099462,165.41281342551818,59749.44369033711,30
9,4.912349558100388,2.939717617879149,144.36755660099462,170.93110045231262,144.36755660099462,170.93110045231262,60064.57195636398,30
10,4.912349558100388,3.062411345631583,144.36755660099462,174.6856799816363,144.36755660099462,174.6856799816363,60555.34401035205,30
11,4.912349558100388,3.318393925774329,144.36755660099462,182.83455470136997,144.36755660099462,182.83455470136997,60570.906583469434,30
12,4.912349558100388,3.2286625516243874,144.36755660099462,179.99316081099502,144.36755660099462,179.99316081099502,61302.58684731742,30
13,5.02690807981097,3.378781705216227,144.36755660099462,182.76181572455064,144.36755660099462,182.76181572455064,62936.23506172105,30
14,5.02690807981097,3.3210052041765863,144.36755660099462,177.22758042240847,144.36755660099462,177.22758042240847,63364.187369758256,30
15,5.02690807981097,3.1348254750404765,144.36755660099462,171.62089218290535,144.36755660099462,171.62089218290535,64977.218117855846,23
16,5.113182052600099,2.7110394847029666,144.36755660099462,162.6728756474715,144.36755660099462,162.6728756474715,67034.10833455266,28
17,5.113182052600099,2.7878254278347976,144.36755660099462,161.0310297555023,144.36755660099462,161.0310297555023,67091.16625259195,30
18,5.113182052600099,3.1503127983399035,144.36755660099462,168.1075607529902,144.36755660099462,168.1075607529902,67109.75428593115,30
19,5.113182052600099,3.2363781264715987,144.36755660099462,169.42225962504423,144.36755660099462,169.42225962504423,67118.7208943766,30
20,5.532255423916981,3.152019768157105,144.36755660099462,165.9686187983414,144.36755660099462,165.9686187983414,68465.65229648708,30
21,5.532255423916981,3.0779630360656918,144.36755660099462,164.19291558991486,144.36755660099462,164.19291558991486,68871.99520237725,30
22,5.532255423916981,3.320765936217318,144.36755660099462,168.42611743497494,144.36755660099462,168.42611743497494,69334.25036114793,30
23,5.532255423916981,3.3853883822223563,144.36755660099462,171.5485513146858,144.36755660099462,171.5485513146858,69334.25036114793,30
24,5.546595788031481,3.491173427546301,144.36755660099462,174.67751170887382,144.36755660099462,174.67751170887382,69532.92755216795,30
25,5.546595788031481,3.54672837275893,144.36755660099462,176.18569458297515,144.36755660099462,176.18569458297515,69547.50920818419,30
26,5.546595788031481,3.8731810295307545,144.36755660099462,186.119534519257,144.36755660099462,186.119534519257,76284.90612055325,17
