population_size,n_trials,mean_runtime_s,std_runtime_s,mean_best_damage,std_best_damage,mean_best_travel,std_best_travel,mean_n_pareto,std_n_pareto
25,2,0.029231021006125957,0.0010187937901308874,5.813381772325804,0.0,136.97116530031548,7.335341993004566,6.0,0.0
50,2,0.04488668747944757,0.0011585654167747907,5.792405647916071,0.0,137.3769706120502,35.438273899304406,10.0,0.0
100,2,0.08216106257168576,0.0009761899117314535,5.7633550076409765,0.07074852909892962,122.05131102952265,13.76451826538076,5.5,0.7071067811865476
