generation,best_damage,avg_damage,best_travel,avg_travel,best_battery,avg_battery,hypervolume,n_pareto
1,3.9435880699818497,2.3673797146323117,165.14054602043936,217.64777339719856,165.14054602043936,217.64777339719856,37295.23606916021,7
2,4.173439086663956,2.619232042445364,157.22050130945595,207.41792166744997,157.22050130945595,207.41792166744997,44393.39243150661,7
3,4.298109379609294,2.8224530464984596,154.23725348443696,202.960712041984,154.23725348443696,202.960712041984,47898.57028925645,11
4,4.528512467024274,2.9114369505547466,150.045483310811,196.41884749682734,150.045483310811,196.41884749682734,52887.774174802056,10
5,4.607746923997136,2.995615410111191,148.03324818820104,191.70153567588372,148.03324818820104,191.70153567588372,56456.77895579911,10
6,4.656455588248973,3.1059049610463627,147.0756232869987,189.20924086721112,147.0756232869987,189.20924086721112,58894.70624230239,11
7,4.669663171915905,3.134132010615066,146.5844890067636,184.80591157279832,146.5844890067636,184.80591157279832,61071.49034654064,11
8,4.799131337642266,3.1758993646182963,146.5461403254882,182.491821415526,146.5461403254882,182.491821415526,62597.5192724844,13
9,4.812566956205852,3.2358642076295943,144.89310861285293,179.89622501878003,144.89310861285293,179.89622501878003,64516.20748548686,17
10,4.859768151883699,3.215024723390971,144.89310861285293,176.9658590135013,144.89310861285293,176.9658590135013,64882.26697697038,21
11,4.860140632690642,3.1939051772476192,144.89310861285293,173.6330596228515,144.89310861285293,173.6330596228515,66726.99795057121,21
12,4.871212913489701,3.167974725249631,144.50032078972856,171.00896601920445,144.50032078972856,171.00896601920445,68245.23771279746,22
13,4.89963146990481,3.2228240930214755,143.05507359943584,169.66180509509203,143.05507359943584,169.66180509509203,72032.28411087263,21
14,4.914709630436055,3.3580600276985746,143.05507359943584,171.4996812544858,143.05507359943584,171.4996812544858,73565.89727357442,22
15,4.917116197515833,3.3777354395925756,143.03906647445808,169.82219755169987,143.03906647445808,169.82219755169987,74042.22599805679,25
16,4.971612165522906,3.3979138608276327,142.49675688574123,168.96160415161427,142.49675688574123,168.96160415161427,74766.7473849303,26
17,4.971612165522906,3.3957389310181973,141.95065738061584,166.6873883201305,141.95065738061584,166.6873883201305,75993.80315524149,32
18,4.971612165522906,3.398957695939238,141.70641693790782,165.85916106133917,141.70641693790782,165.85916106133917,76641.79429566047,32
19,5.027055070125804,3.3512273571190767,141.70641693790782,163.82830424189905,141.70641693790782,163.82830424189905,76889.08515774387,37
20,5.027055070125804,3.3681445880976795,141.7023477631288,162.66569138452058,141.7023477631288,162.66569138452058,78126.48140500778,38
21,5.027055070125804,3.4009449846737416,141.64550230879587,162.4649665738221,141.64550230879587,162.4649665738221,78566.49900961632,38
22,5.047345850065669,3.503346851650504,141.5979856290206,163.21434300794348,141.5979856290206,163.21434300794348,79005.6198885912,40
23,5.047345850065669,3.5166350624802765,141.5979856290206,162.56421023047716,141.5979856290206,162.56421023047716,79299.04726536709,45
24,5.047345850065669,3.519180533567732,141.5979856290206,161.9493327759448,141.5979856290206,161.9493327759448,79347.25299795224,45
25,5.047345850065669,3.513809155392313,141.5979856290206,162.1481002704053,141.5979856290206,162.1481002704053,79807.02991795381,47
26,5.047345850065669,3.5624373442712844,141.5128415373493,163.63046892522547,141.5128415373493,163.63046892522547,80254.235335202,47
27,5.047345850065669,3.5442426411585473,141.5128415373493,163.21546912199128,141.5128415373493,163.21546912199128,80397.96455414547,50
28,5.0550604188413955,3.5347434029287252,141.5128415373493,162.94061757084486,141.5128415373493,162.94061757084486,80512.71709380715,51
29,5.0550604188413955,3.5617613071337755,141.5128415373493,163.33386129563513,141.5128415373493,163.33386129563513,80664.5264512874,49
30,5.0550604188413955,3.5714850583041526,141.5128415373493,163.15890179822813,141.5128415373493,163.15890179822813,80976.72522346747,49
31,5.072618009788819,3.5236011494465656,141.5128415373493,160.4397142112162,141.5128415373493,160.4397142112162,81324.36685985762,48
