tick,generation,best_damage,avg_damage,best_travel,avg_travel,best_battery,avg_battery,hypervolume,n_pareto
0,1,4.975208857356606,2.699469281624603,168.06532670930355,213.7138375466303,168.06532670930355,213.7138375466303,41189.09468563372,8
0,2,4.975208857356606,3.0771542625554624,165.95053005632303,205.8172964854198,165.95053005632303,205.8172964854198,43757.70461158161,10
0,3,5.235614094112322,3.249900201115779,165.95053005632303,201.3167730017518,165.95053005632303,201.3167730017518,46173.36274715079,13
0,4,5.329663424057419,3.369354683224058,165.95053005632303,199.81488187671286,165.95053005632303,199.81488187671286,47671.38242384702,13
0,5,5.329663424057419,3.4595179514055205,153.22463570938612,196.60449796412686,153.22463570938612,196.60449796412686,60217.53994646518,12
0,6,5.364512979937405,3.5154525342795853,153.22463570938612,190.15246636146367,153.22463570938612,190.15246636146367,61383.19776055941,13
0,7,5.364512979937405,3.7712984884873526,153.22463570938612,190.8361807972686,153.22463570938612,190.8361807972686,66808.88217280235,10
0,8,5.364512979937405,3.876355007102421,153.22463570938612,188.53221589490056,153.22463570938612,188.53221589490056,66918.88840088474,14
0,9,5.4585623098825025,4.046104196271961,153.22463570938612,187.22480540119486,153.22463570938612,187.22480540119486,67219.70756122386,24
0,10,5.701385184823058,3.895902379724599,153.22463570938612,184.34591226533664,153.22463570938612,184.34591226533664,68007.40667708733,24
0,11,5.701385184823058,3.9112840929171,153.22463570938612,181.3858088705762,153.22463570938612,181.3858088705762,69159.83820237232,26
0,12,5.701385184823058,3.8027186219100164,153.22463570938612,178.9623200451806,153.22463570938612,178.9623200451806,69801.42401427751,26
0,13,5.701385184823058,4.241412782166042,143.64512926174416,183.38829492213026,143.64512926174416,183.38829492213026,85375.27962253553,14
0,14,5.701385184823058,4.6505500222993685,143.64512926174416,188.39897982302847,143.64512926174416,188.39897982302847,87456.18983054043,17
0,15,5.701385184823058,4.847724115104411,143.64512926174416,188.78719669445323,143.64512926174416,188.78719669445323,87456.18983054043,19
0,16,5.701385184823058,4.882731478611037,143.64512926174416,186.4367123351324,143.64512926174416,186.4367123351324,87598.22194837329,21
0,17,5.701385184823058,4.819684684048966,139.82243272586652,183.5435905897747,139.82243272586652,183.5435905897747,91486.51390467517,28
0,18,5.701385184823058,4.987261029680971,139.82243272586652,187.61747246329125,139.82243272586652,187.61747246329125,93612.89541442342,26
0,19,5.843420644402123,4.89207810336221,139.82243272586652,182.91180421200158,139.82243272586652,182.91180421200158,93765.84485765318,34
0,20,5.843420644402123,5.014670896564824,139.82243272586652,184.90905607823308,139.82243272586652,184.90905607823308,93863.21176562356,41
0,21,5.843420644402123,5.103429449982869,139.82243272586652,188.52779909615683,139.82243272586652,188.52779909615683,94130.22485068528,41
0,22,5.843420644402123,5.122774304471633,139.82243272586652,189.20854594225628,139.82243272586652,189.20854594225628,94130.22485068528,48
0,23,5.843420644402123,5.152704274059276,139.82243272586652,190.3491065134736,139.82243272586652,190.3491065134736,94140.72317494916,59
