risk_weight,actual_distance,risk_exposure,combined_cost,path_len_cells
0.0,49.49747468305831,6.400336708925557,49.49747468305831,36
0.5,49.49747468305831,6.400336708925557,52.69764303752108,36
1.0,49.49747468305831,6.400336708925557,55.897811391983865,36
1.5,56.52691193458117,0.15794714129753984,56.76383264652748,48
2.0,56.52691193458117,0.15794714129753984,56.84280621717625,48
3.0,56.52691193458117,0.15794714129753984,57.000753358473794,48
4.0,57.11269837220808,0.0,57.11269837220808,49
10.0,57.11269837220808,0.0,57.11269837220808,49
50.0,57.11269837220808,0.0,57.11269837220808,49
100.0,57.11269837220808,0.0,57.11269837220808,49
