n_targets,seed,runtime_s,generations,n_pareto,best_damage,best_travel,hypervolume
10,42,1.3831169579643756,500,15,5.970260150250175,156.66667738192436,75613.35594861145
10,43,1.3868840839713812,500,13,4.60189242248485,140.21882496516233,70457.24156454418
10,44,1.1532401660224423,500,21,5.311352269231651,131.44087284828333,86236.39088141202
10,45,1.3114058750215918,500,9,5.9109889511991325,75.64752035939678,223172.44795576108
10,46,1.2746372499968857,500,10,4.423632428355658,142.38056965253173,69101.00681305138
10,47,1.148652207921259,500,13,5.893917361704949,141.86753431375428,87779.85238906702
10,48,1.1730189999798313,500,14,5.299801970235577,154.01074265418777,65727.96566860532
10,49,1.6440207079285756,500,9,5.800982900971945,148.0176926935214,85265.60268457093
10,50,1.1555100000696257,500,8,4.643640426680762,149.3922647272834,68998.74377379897
10,51,1.1540215829154477,500,10,4.15415280493776,152.54485759253205,58102.91723127709
10,52,1.1235010829987004,500,17,4.752097577767226,128.6492055623645,79164.23901421565
10,53,1.1494098750408739,500,15,4.890831685179164,153.4231645422375,65138.5576275962
10,54,1.1607692500110716,500,21,4.527922217989147,153.56739121641002,57549.68627856824
10,55,1.9421385420719162,500,9,4.055710321147539,139.46894978174376,71474.72229229608
10,56,1.14560316700954,500,23,5.483686476230757,122.73487946348466,87542.15465609042
10,57,1.2285193329444155,500,18,5.281744587285553,154.16898871700664,64589.28847469708
10,58,1.1952771249925718,500,21,4.707511215458243,151.67581835014752,62904.71731813061
10,59,1.2099897910375148,500,16,5.102130857874633,137.64323099829159,79533.33513904776
10,60,1.27883104106877,500,17,4.9243307011479995,135.04899424071908,73943.93796691956
10,61,1.1981038749217987,500,4,4.438024500009228,155.86980846292516,62806.54536545848
25,42,1.0377529169199988,500,17,6.351554581049456,115.18882352555083,150579.86073819362
25,43,1.0669521660311148,500,9,6.228060320202946,101.87737610967805,169654.13342781135
25,44,1.0200520840007812,500,19,6.225601982113428,119.43093723512024,142690.39341058856
25,45,1.0576533749699593,500,12,6.875917153430013,72.01949672392006,261255.4302516293
25,46,1.0856921250233427,500,13,6.570659408044428,119.32708037381403,155487.36822536614
25,47,1.0150305000133812,500,20,7.162822554598694,111.61454944377833,181697.61657307172
25,48,1.0358367499429733,500,16,6.852164790311222,108.298990282722,168521.08369360925
25,49,1.065844208933413,500,14,6.499542258769443,104.49735578397303,180594.05227206435
25,50,1.0099737499840558,500,27,5.728624137294914,102.6349662392378,153121.5954051521
25,51,1.0351892920443788,500,23,6.269821644226269,128.07182458621983,119698.23702495013
25,52,1.0283990419702604,500,18,6.799914956831624,116.1087622618225,155748.602030415
25,53,1.0491637920495123,500,17,7.173242583783802,102.65626031576173,204019.58632083188
25,54,1.0446806669933721,500,15,6.635639610577314,137.9907641892472,122258.22334795044
25,55,1.014589833910577,500,23,6.643996803976383,115.30431040356765,162415.11613603664
25,56,1.0637580419424921,500,12,6.861421388648635,108.35149653311191,179222.86395810288
25,57,1.0820058340905234,500,7,6.557181705436232,115.16245235566471,168082.09588980276
25,58,1.024849290959537,500,13,7.018147936029017,125.35730630447453,147671.17212034232
25,59,1.0345980409765616,500,12,6.937337785136748,129.77872590208594,141981.37208831377
25,60,1.0272597910370678,500,26,6.43251724006199,117.27360342725838,137399.71004061567
25,61,1.0329572079936042,500,15,7.189387468526589,121.95009605141269,163502.43259698435
50,42,1.1518422500230372,500,11,6.615501294694658,88.02563909963916,220663.58781597912
50,43,1.109756667050533,500,9,7.57602654167416,110.02043695208536,203063.75952806513
50,44,1.1003463750239462,500,20,7.308646287929935,131.45354542479595,147420.69855464503
50,45,1.1299688749713823,500,16,6.945419298839917,99.0044173853184,205096.03948616734
50,46,1.1028566670138389,500,14,7.154645053963273,125.2504264024978,152376.17435632163
50,47,1.1172311659902334,500,11,7.619144963982325,100.00596126691454,228583.8590595703
50,48,1.1590167080285028,500,12,7.048248919779957,95.97478742646881,221273.0242810019
50,49,1.1371448340360075,500,14,7.03538255177447,107.16425600858109,188856.0633272479
50,50,1.1701085419626907,500,5,7.115692965410072,104.34248525078854,206886.07019146055
50,51,1.1213756250217557,500,14,7.0324074068316,129.22277417206593,144340.60631665093
50,52,1.1094403329771012,500,21,7.3403498476145925,127.43019198098266,143677.29477707663
50,53,1.1072686659172177,500,17,7.080601492774262,108.7891035739901,178496.8015800689
50,54,1.2418615409405902,500,26,6.910815533709998,114.92430821218355,165245.12375772686
50,55,1.1336472500115633,500,12,7.352817109678965,109.82878504002548,193978.03647748975
50,56,1.4443648329470307,500,12,6.827028253162126,121.76758564126801,145733.75127988635
50,57,1.0992302499944344,500,21,7.343352944509387,80.04223162921154,264059.71721537726
50,58,1.1302367089083418,500,19,6.726221150756224,109.33231018646967,172489.1733443443
50,59,1.0755376250017434,500,27,6.918452395025852,116.80440454443227,159170.7170386196
50,60,1.1358310409123078,500,14,7.283434793048063,105.27909079804985,205083.0191000895
50,61,1.088511708076112,500,24,7.493585592450667,62.940253567233306,314684.80327103275
100,42,1.3318005839828402,500,15,7.377732826216982,103.91368599957941,205601.63207855806
100,43,1.3407852500677109,500,14,7.5179271216786345,93.0964934540646,236219.3721846981
100,44,1.3673756249481812,500,13,7.22411672653313,95.42519658497075,222967.95966035803
100,45,1.348295915988274,500,20,7.689013141227441,94.12451896934365,238324.10984215248
100,46,1.3367961249314249,500,22,7.364724521535002,97.21474912110843,225808.90191107773
100,47,1.3487306659808382,500,12,7.343841592596681,96.58131078842798,228479.8900971742
100,48,1.3243074999190867,500,17,7.653993655151162,87.45657229938892,263078.3069315021
100,49,1.3392394579714164,500,24,7.5466648195871135,100.40482263980172,219053.66405417415
100,50,1.3795004170387983,500,4,7.203698083636528,109.74047082812362,196484.9028018647
100,51,1.3309884169138968,500,6,7.3437439973070315,120.54885388104377,175196.71294750748
100,52,1.3176242080517113,500,23,7.74067869524492,82.59750963478939,275439.5951467817
100,53,1.3285646659787744,500,18,7.413677319230063,102.43285080467301,215912.96219994893
100,54,1.3337507079122588,500,16,7.464015607612161,82.10326759061714,270296.37309464515
100,55,1.3378991660429165,500,14,7.096142301024242,116.61664286794601,174284.92447098467
100,56,1.3605256250593811,500,9,7.488288042652773,117.66278582334827,177746.41390744658
100,57,1.3635945840505883,500,5,7.406984619159836,71.44497118515199,310204.53631614224
100,58,1.3174301669932902,500,23,7.589816935372747,69.32558010010047,292894.66901552957
100,59,1.3332287499215454,500,15,7.634899400270054,97.51380133320097,233782.430242511
100,60,1.3174485829658806,500,16,7.624907426441,117.75980090576759,177192.29227705067
100,61,1.3263384170131758,500,15,7.5022779390400505,118.43508448298631,181581.50772019548
200,42,1.8313295409316197,500,10,7.555896597553257,112.91081450294288,195890.92207030646
200,43,1.869345874991268,500,6,7.6098753137304636,100.58599297517229,231541.1115279909
200,44,1.8227426250232384,500,18,7.720543334948325,126.25191163446082,161854.79879102006
200,45,1.8300067089730874,500,7,7.606407537454318,84.5405200791569,272769.3590726635
200,46,1.8157577499514446,500,14,7.642350051089063,140.38338865228852,128678.24817832168
200,47,1.848491583019495,500,7,7.141632728367709,91.42897459971815,242844.79674037552
200,48,1.896467374986969,500,15,7.636625970175193,106.31038095559596,215208.58515996646
200,49,1.8337344579631463,500,10,7.639907055450893,104.13126347024794,221904.84929134572
200,50,1.8189864170271903,500,12,7.597243024191874,134.47845253890506,143552.65312861107
200,51,1.8895682090660557,500,12,7.794415417225129,116.65520972679636,193808.07570783352
200,52,1.839889166993089,500,7,7.180579420449014,127.59373138385662,157411.4734084075
200,53,1.827359625021927,500,3,7.372041052110603,113.04911879284442,195315.69228428009
200,54,1.8134422090370208,500,7,7.31348508388169,116.10713450160387,183402.4295284255
200,55,2.043051040964201,500,14,7.61031880591562,107.2706154535945,213176.36581028812
200,56,1.8201086249900982,500,15,7.45466610565809,116.58684625764128,180993.47122247465
200,57,1.8202578750206158,500,16,7.291669114113213,118.51076416836669,174392.09726621132
200,58,1.801302875042893,500,16,7.36725883442762,126.1900331552613,145499.34779532804
200,59,1.7997980420477688,500,13,7.628780285889014,128.78715467949687,156387.96767531155
200,60,1.8217532919952646,500,15,7.466743475771613,85.55447835734819,249217.36200155062
200,61,1.8073549170512706,500,14,7.398349505867893,131.11116541159834,137588.0913252793
