policy,n_trials,mean_damage_prevented,mean_travel_distance,mean_battery_proxy,mean_n_replans,mean_runtime_s
none,12,3.797897989317416,173.34689142473027,173.34689142473027,1.0,0.09105126031984885
periodic,12,4.520028276157885,322.12618425095695,322.12618425095695,3.0,0.3294263994224214
triggered,12,4.372165142331682,339.3343071412118,339.3343071412118,3.6666666666666665,0.3822608856038035
