population_size,trial,seed,n_targets,n_generations,runtime_s,n_pareto,best_damage,best_travel,best_battery,avg_damage,avg_travel
25,0,467,12,25,0.028818540973588824,6,5.813381772325804,131.7842952347395,131.7842952347395,5.433689621749749,179.7658798180778
25,1,468,12,25,0.027037874911911786,6,5.813381772325804,142.15803536589144,142.15803536589144,5.433689621749747,182.89262301215933
50,0,892,12,25,0.04396425001323223,10,5.792405647916071,162.4356143997946,162.4356143997946,4.356172725488355,184.85323576603028
50,1,893,12,25,0.04497162497136742,10,5.792405647916071,112.31832682430583,112.31832682430583,5.1847885244584315,167.36316849738665
100,0,1742,12,25,0.08059504197444767,6,5.813381772325804,131.7842952347395,131.7842952347395,5.433689621749749,185.54539839091441
100,1,1743,12,25,0.08239929203409702,5,5.71332824295615,112.31832682430583,112.31832682430583,5.096829620678422,153.18172712603118
