n_targets,n_trials,mean_runtime_s,std_runtime_s,min_runtime_s,max_runtime_s
10,2,0.016150853945873678,0.0016445239307795263,0.014987999922595918,0.017313707969151437
20,2,0.014365167007781565,0.00015933517297867292,0.014252500026486814,0.014477833989076316
30,2,0.014528166502714157,0.00047128737713783304,0.014194916002452374,0.01486141700297594
