generation,best_damage,avg_damage,best_travel,avg_travel,best_battery,avg_battery,hypervolume,n_pareto
10,5.19327933960182,3.810490319973732,165.24748820281553,181.4951612146292,165.24748820281553,181.4951612146292,58430.648444430146,9
25,5.5865221619261565,4.059824696328548,159.25889814555185,183.9836993761764,159.25889814555185,183.9836993761764,63039.93741293325,30
50,5.5865221619261565,4.0919082662188675,159.25889814555185,182.3132858398865,159.25889814555185,182.3132858398865,67229.53388864279,30
