n_targets,n_trials,mean_runtime_s,std_runtime_s,mean_n_pareto,mean_best_damage,mean_best_travel,mean_hypervolume,std_hypervolume
10,20,1.2708325456944294,0.20048963811245907,14.15,5.008730591307097,141.22189942619536,79755.13545218598,35075.093108169676
25,20,1.0416119354893454,0.022237947253044125,16.4,6.650677815452457,113.64475890242106,163280.0472775916,30778.575324740646
50,20,1.1432788832404186,0.07936417339369017,15.95,7.136388719880526,107.3801497281501,193058.91603794112,43889.88685909958
100,20,1.3392112415865995,0.017399082590398598,15.05,7.461357238575879,98.7199484647217,226027.55784501517,40428.65994256122
200,20,1.842537410504883,0.05399026425636762,11.55,7.501439435713529,114.42189756484485,190071.8848992996,40484.43999471903
